FileName_AA,FileName_BF,FileName_DA,FileName_DD,FileName_ED,FileName_MB,ImageNumber,Metadata_batch,Metadata_hour,Metadata_label,Metadata_time
clMcf7_exp20240515_h1_b0_ic0_cAA.tif,clMcf7_exp20240515_h1_b0_ic0_cBF.tif,clMcf7_exp20240515_h1_b0_ic0_cDA.tif,clMcf7_exp20240515_h1_b0_ic0_cDD.tif,clMcf7_exp20240515_h1_b0_ic0_cED.tif,clMcf7_exp20240515_h1_b0_ic0_cMB.tif,1,0,1,0,20240515
clMcf7_exp20240515_h1_b10_ic0_cAA.tif,clMcf7_exp20240515_h1_b10_ic0_cBF.tif,clMcf7_exp20240515_h1_b10_ic0_cDA.tif,clMcf7_exp20240515_h1_b10_ic0_cDD.tif,clMcf7_exp20240515_h1_b10_ic0_cED.tif,clMcf7_exp20240515_h1_b10_ic0_cMB.tif,2,10,1,0,20240515
clMcf7_exp20240515_h1_b1_ic0_cAA.tif,clMcf7_exp20240515_h1_b1_ic0_cBF.tif,clMcf7_exp20240515_h1_b1_ic0_cDA.tif,clMcf7_exp20240515_h1_b1_ic0_cDD.tif,clMcf7_exp20240515_h1_b1_ic0_cED.tif,clMcf7_exp20240515_h1_b1_ic0_cMB.tif,3,1,1,0,20240515
clMcf7_exp20240515_h1_b2_ic0_cAA.tif,clMcf7_exp20240515_h1_b2_ic0_cBF.tif,clMcf7_exp20240515_h1_b2_ic0_cDA.tif,clMcf7_exp20240515_h1_b2_ic0_cDD.tif,clMcf7_exp20240515_h1_b2_ic0_cED.tif,clMcf7_exp20240515_h1_b2_ic0_cMB.tif,4,2,1,0,20240515
clMcf7_exp20240515_h1_b3_ic0_cAA.tif,clMcf7_exp20240515_h1_b3_ic0_cBF.tif,clMcf7_exp20240515_h1_b3_ic0_cDA.tif,clMcf7_exp20240515_h1_b3_ic0_cDD.tif,clMcf7_exp20240515_h1_b3_ic0_cED.tif,clMcf7_exp20240515_h1_b3_ic0_cMB.tif,5,3,1,0,20240515
clMcf7_exp20240515_h1_b4_ic0_cAA.tif,clMcf7_exp20240515_h1_b4_ic0_cBF.tif,clMcf7_exp20240515_h1_b4_ic0_cDA.tif,clMcf7_exp20240515_h1_b4_ic0_cDD.tif,clMcf7_exp20240515_h1_b4_ic0_cED.tif,clMcf7_exp20240515_h1_b4_ic0_cMB.tif,6,4,1,0,20240515
clMcf7_exp20240515_h1_b5_ic0_cAA.tif,clMcf7_exp20240515_h1_b5_ic0_cBF.tif,clMcf7_exp20240515_h1_b5_ic0_cDA.tif,clMcf7_exp20240515_h1_b5_ic0_cDD.tif,clMcf7_exp20240515_h1_b5_ic0_cED.tif,clMcf7_exp20240515_h1_b5_ic0_cMB.tif,7,5,1,0,20240515
clMcf7_exp20240515_h1_b6_ic0_cAA.tif,clMcf7_exp20240515_h1_b6_ic0_cBF.tif,clMcf7_exp20240515_h1_b6_ic0_cDA.tif,clMcf7_exp20240515_h1_b6_ic0_cDD.tif,clMcf7_exp20240515_h1_b6_ic0_cED.tif,clMcf7_exp20240515_h1_b6_ic0_cMB.tif,8,6,1,0,20240515
clMcf7_exp20240515_h1_b7_ic0_cAA.tif,clMcf7_exp20240515_h1_b7_ic0_cBF.tif,clMcf7_exp20240515_h1_b7_ic0_cDA.tif,clMcf7_exp20240515_h1_b7_ic0_cDD.tif,clMcf7_exp20240515_h1_b7_ic0_cED.tif,clMcf7_exp20240515_h1_b7_ic0_cMB.tif,9,7,1,0,20240515
clMcf7_exp20240515_h1_b8_ic0_cAA.tif,clMcf7_exp20240515_h1_b8_ic0_cBF.tif,clMcf7_exp20240515_h1_b8_ic0_cDA.tif,clMcf7_exp20240515_h1_b8_ic0_cDD.tif,clMcf7_exp20240515_h1_b8_ic0_cED.tif,clMcf7_exp20240515_h1_b8_ic0_cMB.tif,10,8,1,0,20240515
